UniqueItemType,AffixType,ModifierName,Tier,MinLevel,MinValue,MaxValue,Weight
Accessory,Suffix,AddDex,0,0,1,3,50
Accessory,Suffix,AddInt,0,0,1,3,50
Accessory,Suffix,AddHit,0,0,5,10,50
Accessory,Suffix,AddCritDamage,0,0,3,5,50
Accessory,Suffix,AddCrit,0,0,3,5,50
Accessory,Suffix,AspdBonus,0,0,2,5,50
Accessory,Suffix,AddCastTime,0,0,-10,-5,50
Dagger,Prefix,AddAttackPower,0,0,10,20,50
Dagger,Prefix,AddAttackPercent,0,0,3,6,50
Dagger,Prefix,PureHpDrain,0,0,10,20,50
Dagger,Prefix,IgnoreDef,0,0,10,20,50
Dagger,Prefix,Range,0,0,1,1,50
Dagger,Prefix,DoubleAttackChance,0,0,8,15,50
Dagger,Suffix,AddHit,0,0,10,15,50
Dagger,Suffix,AddCrit,0,0,5,10,50
Dagger,Suffix,AddCritDamage,0,0,5,10,50
Dagger,Suffix,AspdBonus,0,0,4,8,50
Dagger,Suffix,AddStr,0,0,2,5,50
Dagger,Suffix,OnAttackBlind,0,0,20,40,50
Sword,Prefix,AddAttackPower,0,0,10,20,50
Sword,Prefix,AddAttackPercent,0,0,3,6,50
Sword,Prefix,PureHpDrain,0,0,10,20,50
Sword,Prefix,IgnoreDef,0,0,10,20,50
Sword,Prefix,Range,0,0,1,1,50
Sword,Suffix,AddHit,0,0,10,15,50
Sword,Suffix,AddCrit,0,0,5,10,50
Sword,Suffix,AddCritDamage,0,0,5,10,50
Sword,Suffix,AspdBonus,0,0,4,8,50
Sword,Suffix,AddStr,0,0,2,5,50
Sword,Suffix,OnAttackStun,0,0,20,40,50
Spear,Prefix,AddAttackPower,0,0,10,20,50
Spear,Prefix,AddAttackPercent,0,0,3,6,50
Spear,Prefix,PureHpDrain,0,0,10,20,50
Spear,Prefix,IgnoreDef,0,0,10,20,50
Spear,Prefix,Range,0,0,1,1,50
Spear,Suffix,AddHit,0,0,10,15,50
Spear,Suffix,AddCrit,0,0,5,10,50
Spear,Suffix,AddCritDamage,0,0,5,10,50
Spear,Suffix,AspdBonus,0,0,4,8,50
Spear,Suffix,AddStr,0,0,2,5,50
Spear,Suffix,OnAttackBleeding,0,0,20,40,50
Axe,Prefix,AddAttackPower,0,0,10,20,50
Axe,Prefix,AddAttackPercent,0,0,3,6,50
Axe,Prefix,PureHpDrain,0,0,10,20,50
Axe,Prefix,IgnoreDef,0,0,10,20,50
Axe,Prefix,Range,0,0,1,1,50
Axe,Suffix,AddHit,0,0,10,15,50
Axe,Suffix,AddCrit,0,0,5,10,50
Axe,Suffix,AddCritDamage,0,0,5,10,50
Axe,Suffix,AspdBonus,0,0,4,8,50
Axe,Suffix,AddStr,0,0,2,5,50
Axe,Suffix,OnAttackBleeding,0,0,20,40,50
Bow,Prefix,AddAttackPower,0,0,10,20,50
Bow,Prefix,AddAttackPercent,0,0,3,6,50
Bow,Prefix,PureHpDrain,0,0,10,20,50
Bow,Prefix,IgnoreDef,0,0,10,20,50
Bow,Suffix,AddHit,0,0,10,15,50
Bow,Suffix,AddCrit,0,0,5,10,50
Bow,Suffix,AddCritDamage,0,0,5,10,50
Bow,Suffix,AspdBonus,0,0,4,8,50
Bow,Suffix,AddDex,0,0,2,5,50
Bow,Suffix,OnAttackCurse,0,0,20,40,50
Instrument,Prefix,AddAttackPower,0,0,10,20,50
Instrument,Prefix,AddAttackPercent,0,0,3,6,50
Instrument,Prefix,PureHpDrain,0,0,10,20,50
Instrument,Prefix,IgnoreDef,0,0,10,20,50
Instrument,Prefix,Range,0,0,1,1,50
Instrument,Suffix,AddHit,0,0,10,15,50
Instrument,Suffix,AddCrit,0,0,5,10,50
Instrument,Suffix,AddCritDamage,0,0,5,10,50
Instrument,Suffix,AspdBonus,0,0,4,8,50
Instrument,Suffix,AddDex,0,0,2,5,50
Instrument,Suffix,OnAttackCurse,0,0,20,40,50
Whip,Prefix,AddAttackPower,0,0,10,20,50
Whip,Prefix,AddAttackPercent,0,0,3,6,50
Whip,Prefix,PureHpDrain,0,0,10,20,50
Whip,Prefix,IgnoreDef,0,0,10,20,50
Whip,Prefix,Range,0,0,1,1,50
Whip,Suffix,AddHit,0,0,10,15,50
Whip,Suffix,AddCrit,0,0,5,10,50
Whip,Suffix,AddCritDamage,0,0,5,10,50
Whip,Suffix,AspdBonus,0,0,4,8,50
Whip,Suffix,AddDex,0,0,2,5,50
Whip,Suffix,OnAttackCurse,0,0,20,40,50
Mace,Prefix,AddAttackPower,0,0,10,20,50
Mace,Prefix,AddAttackPercent,0,0,3,6,50
Mace,Prefix,PureHpDrain,0,0,10,20,50
Mace,Prefix,IgnoreDef,0,0,10,20,50
Mace,Prefix,Range,0,0,1,1,50
Mace,Suffix,AddHit,0,0,10,15,50
Mace,Suffix,AddCrit,0,0,5,10,50
Mace,Suffix,AddCritDamage,0,0,5,10,50
Mace,Suffix,AspdBonus,0,0,4,8,50
Mace,Suffix,AddStr,0,0,2,5,50
Mace,Suffix,OnAttackStun,0,0,20,40,50
Book,Prefix,AddAttackPower,0,0,10,20,50
Book,Prefix,AddAttackPercent,0,0,3,6,50
Book,Prefix,PureHpDrain,0,0,10,20,50
Book,Prefix,IgnoreDef,0,0,10,20,50
Book,Prefix,Range,0,0,1,1,50
Book,Suffix,AddHit,0,0,10,15,50
Book,Suffix,AddCrit,0,0,5,10,50
Book,Suffix,AddCritDamage,0,0,5,10,50
Book,Suffix,AspdBonus,0,0,4,8,50
Book,Suffix,AddStr,0,0,2,5,50
Book,Suffix,OnAttackSilence,0,0,20,40,50
2HAxe,Prefix,AddAttackPower,0,0,20,40,50
2HAxe,Prefix,AddAttackPercent,0,0,6,12,50
2HAxe,Prefix,PureHpDrain,0,0,20,40,50
2HAxe,Prefix,IgnoreDef,0,0,20,40,50
2HAxe,Prefix,Range,0,0,1,2,50
2HAxe,Suffix,AddHit,0,0,15,30,50
2HAxe,Suffix,AddCrit,0,0,10,20,50
2HAxe,Suffix,AddCritDamage,0,0,10,20,50
2HAxe,Suffix,AspdBonus,0,0,8,16,50
2HAxe,Suffix,AddStr,0,0,5,10,50
2HAxe,Suffix,OnAttackBleeding,0,0,40,80,50
2HSword,Prefix,AddAttackPower,0,0,20,40,50
2HSword,Prefix,AddAttackPercent,0,0,6,12,50
2HSword,Prefix,PureHpDrain,0,0,20,40,50
2HSword,Prefix,IgnoreDef,0,0,20,40,50
2HSword,Prefix,Range,0,0,1,2,50
2HSword,Suffix,AddHit,0,0,15,30,50
2HSword,Suffix,AddCrit,0,0,10,20,50
2HSword,Suffix,AddCritDamage,0,0,10,20,50
2HSword,Suffix,AspdBonus,0,0,8,16,50
2HSword,Suffix,AddStr,0,0,5,10,50
2HSword,Suffix,OnAttackStun,0,0,40,80,50
2HSpear,Prefix,AddAttackPower,0,0,20,40,50
2HSpear,Prefix,AddAttackPercent,0,0,6,12,50
2HSpear,Prefix,PureHpDrain,0,0,20,40,50
2HSpear,Prefix,IgnoreDef,0,0,20,40,50
2HSpear,Prefix,Range,0,0,1,2,50
2HSpear,Suffix,AddHit,0,0,15,30,50
2HSpear,Suffix,AddCrit,0,0,10,20,50
2HSpear,Suffix,AddCritDamage,0,0,10,20,50
2HSpear,Suffix,AspdBonus,0,0,8,16,50
2HSpear,Suffix,AddStr,0,0,5,10,50
2HSpear,Suffix,OnAttackBleeding,0,0,40,80,50
2HMace,Prefix,AddAttackPower,0,0,20,40,50
2HMace,Prefix,AddAttackPercent,0,0,6,12,50
2HMace,Prefix,PureHpDrain,0,0,20,40,50
2HMace,Prefix,IgnoreDef,0,0,20,40,50
2HMace,Prefix,Range,0,0,1,2,50
2HMace,Suffix,AddHit,0,0,15,30,50
2HMace,Suffix,AddCrit,0,0,10,20,50
2HMace,Suffix,AddCritDamage,0,0,10,20,50
2HMace,Suffix,AspdBonus,0,0,8,16,50
2HMace,Suffix,AddStr,0,0,5,10,50
2HMace,Suffix,OnAttackBleeding,0,0,40,80,50
Katar,Prefix,AddAttackPower,0,0,20,40,50
Katar,Prefix,AddAttackPercent,0,0,6,12,50
Katar,Prefix,PureHpDrain,0,0,20,40,50
Katar,Prefix,IgnoreDef,0,0,20,40,50
Katar,Prefix,Range,0,0,1,2,50
Katar,Suffix,AddHit,0,0,15,30,50
Katar,Suffix,AddCrit,0,0,10,20,50
Katar,Suffix,AddCritDamage,0,0,10,20,50
Katar,Suffix,AspdBonus,0,0,8,16,50
Katar,Suffix,AddStr,0,0,5,10,50
Katar,Suffix,OnAttackPoison,0,0,40,80,50
Rod,Prefix,AddMagicAttackPercent,0,0,5,10,50
Rod,Prefix,AddMagicAttackPower,0,0,15,30,50
Rod,Prefix,IgnoreMDef,0,0,10,20,50
Rod,Prefix,SpConsumption,0,0,-10,-5,50
Rod,Suffix,AddInt,0,0,2,5,50
Rod,Suffix,AddDex,0,0,2,5,50
Rod,Suffix,AddCastTime,0,0,-10,-5,50
Rod,Suffix,AddHealingPower,0,0,10,20,50
Rod,Suffix,AddSpRecoveryPercent,0,0,10,20,50
2HRod,Prefix,AddMagicAttackPercent,0,0,10,20,50
2HRod,Prefix,AddMagicAttackPower,0,0,30,60,50
2HRod,Prefix,IgnoreMDef,0,0,20,40,50
2HRod,Prefix,SpConsumption,0,0,-20,-10,50
2HRod,Suffix,AddInt,0,0,5,10,50
2HRod,Suffix,AddDex,0,0,5,10,50
2HRod,Suffix,AddCastTime,0,0,-20,-10,50
2HRod,Suffix,AddHealingPower,0,0,20,40,50
2HRod,Suffix,AddSpRecoveryPercent,0,0,20,40,50
