Id,Name,TypeFlags,Description,DisplayScale
145,OnRangedAttackSilence,Status | Attack,"{modifierValue}% Ranged Chance to Silence",10
146,OnRangedAttackCurse,Status | Attack,"{modifierValue}% Ranged Chance to Curse",10
147,OnRangedAttackPoison,Status | Attack,"{modifierValue}% Ranged Chance to Poison",10
148,OnRangedAttackConfusion,Status | Attack,"{modifierValue}% Ranged Chance to Confuse",10
149,OnRangedAttackHeavyPoison,Status | Attack,"{modifierValue}% Ranged Chance to Heavy Poison",10
150,OnRangedAttackBleeding,Status | Attack,"{modifierValue}% Ranged Chance to Bleed",10
151,OnRangedAttackStun,Status | Attack,"{modifierValue}% Ranged Chance to Stun",10
152,OnRangedAttackStone,Status | Attack,"{modifierValue}% Ranged Chance to Petrify",10
153,OnRangedAttackFreeze,Status | Attack,"{modifierValue}% Ranged Chance to Freeze",10
154,OnRangedAttackSleep,Status | Attack,"{modifierValue}% Ranged Chance to Sleep",10
155,OnAttackBlindSelf,Status | Attack,"{modifierValue}% Chance to Blind Yourself on Attacks",10
156,OnAttackSilenceSelf,Status | Attack,"{modifierValue}% Chance to Silence Yourself on Attacks",10
157,OnAttackCurseSelf,Status | Attack,"{modifierValue}% Chance to Curse Yourself on Attacks",10
158,OnAttackPoisonSelf,Status | Attack,"{modifierValue}% Chance to Poison Yourself on Attacks",10
159,OnAttackConfusionSelf,Status | Attack,"{modifierValue}% Chance to Confuse Yourself on Attacks",10
160,OnAttackHeavyPoisonSelf,Status | Attack,"{modifierValue}% Chance to Heavy Poison Yourself on Attacks",10
161,OnAttackBleedingSelf,Status | Attack,"{modifierValue}% Chance to Bleed Yourself on Attacks",10
162,OnAttackStunSelf,Status | Attack,"{modifierValue}% Chance to Stun Yourself on Attacks",10
163,OnAttackStoneSelf,Status | Attack,"{modifierValue}% Chance to Petrify Yourself on Attacks",10
164,OnAttackFreezeSelf,Status | Attack,"{modifierValue}% Chance to Freeze Yourself on Attacks",10
165,OnAttackSleepSelf,Status | Attack,"{modifierValue}% Chance to Sleep Yourself on Attacks",10
166,WhenAttackedBlind,Status | Defense,"{modifierValue}% Chance to Blind Enemies when Attacked",10
167,WhenAttackedSilence,Status | Defense,"{modifierValue}% Chance to Silence Enemies when Attacked",10
168,WhenAttackedCurse,Status | Defense,"{modifierValue}% Chance to Curse Enemies when Attacked",10
169,WhenAttackedPoison,Status | Defense,"{modifierValue}% Chance to Poison Enemies when Attacked",10
170,WhenAttackedConfusion,Status | Defense,"{modifierValue}% Chance to Confuse Enemies when Attacked",10
171,WhenAttackedHeavyPoison,Status | Defense,"{modifierValue}% Chance to Heavy Poison Enemies when Attacked",10
172,WhenAttackedBleeding,Status | Defense,"{modifierValue}% Chance to Bleed Enemies when Attacked",10
173,WhenAttackedStun,Status | Defense,"{modifierValue}% Chance to Stun Enemies when Attacked",10
174,WhenAttackedStone,Status | Defense,"{modifierValue}% Chance to Petrify Enemies when Attacked",10
175,WhenAttackedFreeze,Status | Defense,"{modifierValue}% Chance to Freeze Enemies when Attacked",10
176,WhenAttackedSleep,Status | Defense,"{modifierValue}% Chance to Sleep Enemies when Attacked",10
177,ResistBlindStatus,Status | Resistance,"{modifierValue}% Blind Resistance",1
178,ResistSilenceStatus,Status | Resistance,"{modifierValue}% Silence Resistance",1
179,ResistCurseStatus,Status | Resistance,"{modifierValue}% Curse Resistance",1
180,ResistPoisonStatus,Status | Resistance,"{modifierValue}% Poison Resistance",1
181,ResistConfusionStatus,Status | Resistance,"{modifierValue}% Confusion Resistance",1
182,ResistHeavyPoisonStatus,Status | Resistance,"{modifierValue}% Heavy Poison Resistance",1
183,ResistBleedingStatus,Status | Resistance,"{modifierValue}% Bleeding Resistance",1
184,ResistStunStatus,Status | Resistance,"{modifierValue}% Stun Resistance",1
185,ResistStoneStatus,Status | Resistance,"{modifierValue}% Petrify Resistance",1
186,ResistFreezeStatus,Status | Resistance,"{modifierValue}% Freeze Resistance",1
187,ResistSleepStatus,Status | Resistance,"{modifierValue}% Sleep Resistance",1
188,DecreasePoisonStatusDamage,Status | Resistance,"{modifierValue}% Poison Status Damage",1
189,DecreaseStunDuration,Status,"{modifierValue}% Stun Duration",1
190,DecreaseFreezeDuration,Status,"{modifierValue}% Freeze Duration",1
191,PureHpDrain,HP,"{modifierValue}% HP Leech on Attack",10
192,PureSpDrain,SP,"{modifierValue}% SP Leech on Attack",10
193,HpDrainChance,HP,"{modifierValue}% Attack Chance to Leech HP",1
194,HpDrainAmount,HP,"{modifierValue}% Attack HP Leech on Proc",1
195,SpDrainChance,SP,"{modifierValue}% Attack Chance to Leech SP",1
196,SpDrainAmount,SP,"{modifierValue}% Attack SP Leech on Proc",1
197,HpGainOnAttack,HP,"Recover {modifierValue} HP on Attack",1
198,SpGainOnAttack,SP,"Recover {modifierValue} SP on Attack",1
199,HpGainOnKill,HP,"Recover {modifierValue} HP on Kill",1
200,SpGainOnKill,SP,"Recover {modifierValue} SP on Kill",1
201,HpGainOnAttackRaceFormless,Racial | HP,"Recover {modifierValue} HP on Attack against Formless",1
202,HpGainOnAttackRaceDemihuman,Racial | HP,"Recover {modifierValue} HP on Attack against Demi-Humans",1
203,HpGainOnAttackRaceBeast,Racial | HP,"Recover {modifierValue} HP on Attack against Beasts",1
204,HpGainOnAttackRaceInsect,Racial | HP,"Recover {modifierValue} HP on Attack against Insects",1
205,HpGainOnAttackRaceAngel,Racial | HP,"Recover {modifierValue} HP on Attack against Angels",1
206,HpGainOnAttackRaceDragon,Racial | HP,"Recover {modifierValue} HP on Attack against Dragons",1
207,HpGainOnAttackRaceAquatic,Racial | HP,"Recover {modifierValue} HP on Attack against Aquatics",1
208,HpGainOnAttackRacePlant,Racial | HP,"Recover {modifierValue} HP on Attack against Plants",1
209,HpGainOnAttackRaceDemon,Racial | HP,"Recover {modifierValue} HP on Attack against Demons",1
210,HpGainOnAttackRaceUndead,Racial | HP,"Recover {modifierValue} HP on Attack against Undead",1
211,HpGainOnKillRaceFormless,Racial | HP,"Recover {modifierValue} HP on Formless Kills",1
212,HpGainOnKillRaceDemihuman,Racial | HP,"Recover {modifierValue} HP on Demi-Human Kills",1
213,HpGainOnKillRaceBeast,Racial | HP,"Recover {modifierValue} HP on Beast Kills",1
214,HpGainOnKillRaceInsect,Racial | HP,"Recover {modifierValue} HP on Insect Kills",1
215,HpGainOnKillRaceAngel,Racial | HP,"Recover {modifierValue} HP on Angel Kills",1
216,HpGainOnKillRaceDragon,Racial | HP,"Recover {modifierValue} HP on Dragon Kills",1
217,HpGainOnKillRaceAquatic,Racial | HP,"Recover {modifierValue} HP on Aquatic Kills",1
218,HpGainOnKillRacePlant,Racial | HP,"Recover {modifierValue} HP on Plant Kills",1
219,HpGainOnKillRaceDemon,Racial | HP,"Recover {modifierValue} HP on Demon Kills",1
220,HpGainOnKillRaceUndead,Racial | HP,"Recover {modifierValue} HP on Undead Kills",1
221,SpGainOnAttackRaceFormless,Racial | SP,"Recover {modifierValue} SP on Attack against Formless",1
222,SpGainOnAttackRaceDemihuman,Racial | SP,"Recover {modifierValue} SP on Attack against Demi-Humans",1
223,SpGainOnAttackRaceBeast,Racial | SP,"Recover {modifierValue} SP on Attack against Beasts",1
224,SpGainOnAttackRaceInsect,Racial | SP,"Recover {modifierValue} SP on Attack against Insects",1
225,SpGainOnAttackRaceAngel,Racial | SP,"Recover {modifierValue} SP on Attack against Angels",1
226,SpGainOnAttackRaceDragon,Racial | SP,"Recover {modifierValue} SP on Attack against Dragons",1
227,SpGainOnAttackRaceAquatic,Racial | SP,"Recover {modifierValue} SP on Attack against Aquatics",1
228,SpGainOnAttackRacePlant,Racial | SP,"Recover {modifierValue} SP on Attack against Plants",1
229,SpGainOnAttackRaceDemon,Racial | SP,"Recover {modifierValue} SP on Attack against Demons",1
230,SpGainOnAttackRaceUndead,Racial | SP,"Recover {modifierValue} SP on Attack against Undead",1
231,SpGainOnKillRaceFormless,Racial | SP,"Recover {modifierValue} SP on Formless Kills",1
232,SpGainOnKillRaceDemihuman,Racial | SP,"Recover {modifierValue} SP on Demi-Human Kills",1
233,SpGainOnKillRaceBeast,Racial | SP,"Recover {modifierValue} SP on Beast Kills",1
234,SpGainOnKillRaceInsect,Racial | SP,"Recover {modifierValue} SP on Insect Kills",1
235,SpGainOnKillRaceAngel,Racial | SP,"Recover {modifierValue} SP on Angel Kills",1
236,SpGainOnKillRaceDragon,Racial | SP,"Recover {modifierValue} SP on Dragon Kills",1
237,SpGainOnKillRaceAquatic,Racial | SP,"Recover {modifierValue} SP on Aquatic Kills",1
238,SpGainOnKillRacePlant,Racial | SP,"Recover {modifierValue} SP on Plant Kills",1
239,SpGainOnKillRaceDemon,Racial | SP,"Recover {modifierValue} SP on Demon Kills",1
240,SpGainOnKillRaceUndead,Racial | SP,"Recover {modifierValue} SP on Undead Kills",1
241,KnockOutOnAttack,Status | Attack,"{modifierValue}% Chance to Coma",10
242,KnockOutOnAttackRaceFormless,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Formless",10
243,KnockOutOnAttackRaceDemihuman,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Demi-Humans",10
244,KnockOutOnAttackRaceBeast,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Beasts",10
245,KnockOutOnAttackRaceInsect,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Insects",10
246,KnockOutOnAttackRaceAngel,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Angels",10
247,KnockOutOnAttackRaceDragon,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Dragons",10
248,KnockOutOnAttackRaceAquatic,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Aquatics",10
249,KnockOutOnAttackRacePlant,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Plants",10
250,KnockOutOnAttackRaceDemon,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Demons",10
251,KnockOutOnAttackRaceUndead,Racial | Status | Attack,"{modifierValue}% Chance to Coma against Undead",10
252,SpConsumption,SP,"SP Consumption {modifierValue}%",1
253,UninterruptibleCast,Caster,"Uninterruptible Casts",1
254,KnockbackImmune,None,"Knockback Immune",1
255,ReverseDefense,Defense,"Enemey DEF is Reversed",1
256,FullRevive,None,"Fully Revive",1
257,NoGemstone,None,"Nullify Gemstone Requirement",1
258,MagicImmunity,None,"Immune to Magic",1
259,AddHealingPower,HP,"{modifierValue}% Healing Power",1
260,IgnoreDef,Defense,"Ignore {modifierValue}% DEF",1
261,IgnoreMDef,Defense,"Ignore {modifierValue}% MDEF",1
262,OnAttackBlind,Status | Attack,"{modifierValue}% Chance to Blind on Attack",10
263,OnAttackSilence,Status | Attack,"{modifierValue}% Chance to Silence on Attack",10
264,OnAttackCurse,Status | Attack,"{modifierValue}% Chance to Curse on Attack",10
265,OnAttackPoison,Status | Attack,"{modifierValue}% Chance to Poison on Attack",10
266,OnAttackConfusion,Status | Attack,"{modifierValue}% Chance to Confuse on Attack",10
267,OnAttackHeavyPoison,Status | Attack,"{modifierValue}% Chance to Heavy Poison on Attack",10
268,OnAttackBleeding,Status | Attack,"{modifierValue}% Chance to Bleed on Attack",10
269,OnAttackStun,Status | Attack,"{modifierValue}% Chance to Stun on Attack",10
270,OnAttackStone,Status | Attack,"{modifierValue}% Chance to Petrify on Attack",10
271,OnAttackFreeze,Status | Attack,"{modifierValue}% Chance to Freeze on Attack",10
272,OnAttackSleep,Status | Attack,"{modifierValue}% Chance to Sleep on Attack",10
273,AddRange,None,"{modifierValue} Range",1
274,AddWeaponAttackPercent,Attack,"{modifierValue}% Weapon Damage",1
275,AddWeaponAttack,Attack,"{modifierValue} Weapon Damage",1
276,ColdBolt3OnAttack,Attack,"{modifierValue}% Chance to Cast Cold Bolt 3 on Attack",10
